,HorseNameCHI,date,raceid,location_id,distance,DG,Act_RS,wlast,first,firsttwo,firstthree
1,福穎,2018-11-21,193,1,1.2,MiddleOuter,MiddleFront,3.0,0,0,0
2,福穎,2018-10-31,141,0,1.2,Outer,MiddleFront,3.0,0,0,0
3,福穎,2018-10-18,102,1,1.2,MiddleOuter,MiddleFront,3.0,0,0,0
4,福穎,2018-09-22,39,0,1.2,MiddleOuter,Pace,1.0,0,0,1
5,福穎,2018-07-15,800,0,1.2,Inner,MiddleFront,1.0,0,1,1
6,福穎,2018-06-16,734,0,1.2,MiddleInner,MiddleFront,1.0,0,1,1
7,福穎,2018-06-03,697,0,1.2,Outer,MiddleFront,3.0,0,0,0
8,福穎,2018-05-12,645,0,1.2,MiddleOuter,MiddleFront,4.0,0,0,0
9,福穎,2018-04-29,607,0,1.2,Outer,Late,3.0,0,0,0
16,哈蝦巴爸,2018-11-04,151,0,1.8,MiddleInner,MiddleLate,2.0,0,0,0
17,哈蝦巴爸,2018-10-21,112,0,1.8,MiddleOuter,Late,2.0,0,0,0
18,哈蝦巴爸,2018-07-15,804,0,1.6,MiddleInner,MiddleLate,3.0,0,0,0
19,哈蝦巴爸,2018-06-24,744,0,1.8,MiddleOuter,MiddleFront,3.0,0,0,0
20,哈蝦巴爸,2018-06-03,701,0,1.6,MiddleInner,MiddleFront,3.0,0,0,0
21,哈蝦巴爸,2018-05-23,672,1,1.8,MiddleInner,Pace,1.0,1,1,1
22,哈蝦巴爸,2018-05-06,624,0,2.4,Inner,MiddleFront,2.0,0,1,1
23,哈蝦巴爸,2018-04-15,573,0,2.2,Inner,MiddleFront,4.0,1,1,1
93,紅麗舍,2018-12-12,250,1,1.8,Inner,MiddleFront,1.0,0,0,0
94,紅麗舍,2018-11-10,168,0,1.8,MiddleInner,MiddleFront,3.0,0,0,1
95,紅麗舍,2018-10-01,56,0,1.8,MiddleInner,MiddleLate,5.0,0,1,1
96,紅麗舍,2018-09-09,25,0,1.6,MiddleInner,MiddleFront,3.0,0,0,0
97,紅麗舍,2018-07-08,784,0,1.6,MiddleOuter,MiddleLate,3.0,0,0,0
98,紅麗舍,2018-06-16,736,0,1.6,Inner,MiddleFront,1.0,0,0,1
99,紅麗舍,2018-05-27,678,0,1.6,MiddleInner,MiddleLate,1.0,0,0,0
100,紅麗舍,2018-05-12,644,0,1.6,Outer,Late,4.0,0,0,0
101,紅麗舍,2018-04-15,571,0,1.6,Inner,MiddleFront,1.0,0,0,0
102,紅麗舍,2018-04-02,543,0,1.6,Inner,MiddleLate,1.0,1,1,1
